track_id,rmd_zone_name,trigger_count,object_class,weekday,date,time,duration,enter_direction,enter_azimuth,exit_direction,exit_azimuth,min_speed,avg_speed,max_speed,speed_delta,alarm
1466,Scenario 1,0,Vehicle,Thu,2024-05-09,17:22:56.630243,1.80,departing,321,departing,32,13.50,39.60,50.40,-35.10,0
1568,Scenario 1,0,Unknown,Thu,2024-05-09,17:23:02.535909,0.50,leftwards,245,leftwards,245,6.30,6.30,6.30,0.00,0
1612,Scenario 1,0,Unknown,Thu,2024-05-09,17:23:28.338021,0.50,rightwards,134,rightwards,134,42.30,42.30,42.30,0.00,0
1808,Scenario 1,0,Unknown,Thu,2024-05-09,17:25:11.993658,0.75,leftwards,228,leftwards,229,18.90,21.60,27.90,-9.00,0
1852,Scenario 1,0,Vehicle,Thu,2024-05-09,17:25:16.105817,1.00,rightwards,119,approaching,172,25.20,30.60,41.40,-16.20,0
1972,Scenario 1,0,Unknown,Thu,2024-05-09,17:25:21.721218,0.99,departing,15,departing,5,47.70,49.50,50.40,2.70,0
1987,Scenario 1,1,Vehicle,Thu,2024-05-09,17:25:24.721133,3.00,departing,1,departing,358,46.80,49.50,53.10,-3.60,1
1986,Scenario 1,1,Vehicle,Thu,2024-05-09,17:25:24.821413,2.30,departing,8,departing,352,47.70,48.60,49.50,0.90,1
2019,Scenario 1,2,Vehicle,Thu,2024-05-09,17:25:42.709533,4.50,approaching,180,approaching,174,57.60,58.50,59.40,0.00,1
2020,Scenario 1,1,Unknown,Thu,2024-05-09,17:25:42.918864,1.19,departing,13,departing,354,43.20,45.00,47.70,4.50,0
2034,Scenario 1,2,Vehicle,Thu,2024-05-09,17:25:49.218493,1.70,departing,7,departing,358,48.60,49.50,50.40,1.80,0
2036,Scenario 1,3,Vehicle,Thu,2024-05-09,17:25:49.819359,6.82,approaching,162,approaching,203,37.80,47.70,52.20,-14.40,1
2043,Scenario 1,3,Vehicle,Thu,2024-05-09,17:25:52.225293,5.81,approaching,170,approaching,194,20.70,46.80,52.20,-9.90,1
2054,Scenario 1,3,Vehicle,Thu,2024-05-09,17:25:54.437583,6.05,departing,3,departing,6,44.10,49.50,55.80,3.60,1
2147,Scenario 1,4,Vehicle,Thu,2024-05-09,17:26:11.419065,2.70,approaching,167,approaching,176,62.10,63.90,65.70,-0.90,1
2164,Scenario 1,5,Vehicle,Thu,2024-05-09,17:26:19.432955,6.76,approaching,170,approaching,189,31.50,41.40,43.20,-10.80,1
2170,Scenario 1,6,Vehicle,Thu,2024-05-09,17:26:27.000000,6.61,departing,359,departing,343,42.30,43.20,45.00,1.80,1
2178,Scenario 1,7,Vehicle,Thu,2024-05-09,17:26:40.933740,7.87,departing,3,departing,351,54.90,57.60,58.50,3.60,1
2194,Scenario 1,7,Vehicle,Thu,2024-05-09,17:26:45.644076,17.58,departing,323,departing,355,0.90,27.90,45.00,38.70,1
2223,Scenario 1,7,Unknown,Thu,2024-05-09,17:26:49.254227,0.15,approaching,217,approaching,217,195.30,195.30,195.30,0.00,0
2258,Scenario 1,7,Vehicle,Thu,2024-05-09,17:26:59.417392,9.43,approaching,178,approaching,201,37.80,47.70,49.50,-9.00,1
2264,Scenario 1,7,Vehicle,Thu,2024-05-09,17:27:04.735432,7.66,approaching,181,approaching,211,27.90,45.00,45.90,-17.10,1
2265,Scenario 1,7,Vehicle,Thu,2024-05-09,17:27:05.338686,4.50,departing,8,departing,354,41.40,52.20,54.00,12.60,1
2295,Scenario 1,8,Vehicle,Thu,2024-05-09,17:27:11.146593,3.15,departing,352,departing,350,54.90,55.80,56.70,0.90,1
2306,Scenario 1,9,Vehicle,Thu,2024-05-09,17:27:12.996559,5.61,approaching,178,approaching,198,40.50,51.30,53.10,-10.80,1
2321,Scenario 1,10,Vehicle,Thu,2024-05-09,17:27:28.825531,8.27,approaching,171,approaching,182,45.00,46.80,48.60,-1.80,1
2324,Scenario 1,10,Vehicle,Thu,2024-05-09,17:27:33.043908,8.96,departing,8,departing,353,44.10,53.10,55.80,11.70,1
2321,Scenario 1,10,Vehicle,Thu,2024-05-09,17:27:37.248032,0.05,approaching,196,approaching,196,31.50,31.50,31.50,0.00,0
2379,Scenario 1,11,Vehicle,Thu,2024-05-09,17:28:18.431137,8.21,departing,4,departing,352,54.90,58.50,60.30,5.40,1
2401,Scenario 1,12,Vehicle,Thu,2024-05-09,17:28:34.221539,10.91,departing,10,departing,354,36.00,44.10,46.80,10.80,1
2428,Scenario 1,13,Vehicle,Thu,2024-05-09,17:28:52.591788,11.93,approaching,174,approaching,199,30.60,45.90,55.80,-15.30,1
2430,Scenario 1,13,Vehicle,Thu,2024-05-09,17:28:56.200086,3.41,approaching,177,approaching,176,45.90,46.80,47.70,0.90,1
